J01_2018.06.13 13_17_04.jpg,bad,1337,841,1444,968
J01_2018.06.13 13_17_04fliplr.jpg,bad,1116,841,1223,968
J01_2018.06.13 13_17_04flipud.jpg,bad,1337,952,1444,1079
J01_2018.06.13 13_17_04rotatePi.jpg,bad,1115,952,1223,1079
J01_2018.06.13 13_19_45.jpg,bad,1281,537,1344,820
J01_2018.06.13 13_19_45fliplr.jpg,bad,1216,537,1279,820
J01_2018.06.13 13_19_45flipud.jpg,bad,1281,1100,1344,1383
J01_2018.06.13 13_19_45rotatePi.jpg,bad,1216,1100,1279,1383
J01_2018.06.13 13_25_43.jpg,bad,83,1326,2532,1407
J01_2018.06.13 13_25_43fliplr.jpg,bad,28,1326,2477,1407
J01_2018.06.13 13_25_43flipud.jpg,bad,83,513,2532,594
J01_2018.06.13 13_25_43rotatePi.jpg,bad,28,513,2477,594
J01_2018.06.13 13_25_43_augColor_5.jpg,bad,83,1326,2532,1407
J01_2018.06.13 13_25_43_augColor_5fliplr.jpg,bad,28,1326,2477,1407
J01_2018.06.13 13_25_43_augColor_5flipud.jpg,bad,83,513,2532,594
J01_2018.06.13 13_25_43_augColor_5rotatePi.jpg,bad,28,513,2477,594
J01_2018.06.13 13_25_43_augColor_8.jpg,bad,83,1326,2532,1407
J01_2018.06.13 13_25_43_augColor_8fliplr.jpg,bad,28,1326,2477,1407
J01_2018.06.13 13_25_43_augColor_8flipud.jpg,bad,83,513,2532,594
J01_2018.06.13 13_25_43_augColor_8rotatePi.jpg,bad,28,513,2477,594
J01_2018.06.13 13_31_01.jpg,bad,1574,288,2347,392
J01_2018.06.13 13_31_01fliplr.jpg,bad,213,288,986,392
J01_2018.06.13 13_31_01flipud.jpg,bad,1574,1528,2347,1632
J01_2018.06.13 13_31_01rotatePi.jpg,bad,213,1528,986,1632
J01_2018.06.13 13_31_01_augColor_2.jpg,bad,1574,288,2347,392
J01_2018.06.13 13_31_01_augColor_2fliplr.jpg,bad,213,288,986,392
J01_2018.06.13 13_31_01_augColor_2flipud.jpg,bad,1574,1528,2347,1632
J01_2018.06.13 13_31_01_augColor_2rotatePi.jpg,bad,213,1528,986,1632
J01_2018.06.13 13_31_01_augColor_4.jpg,bad,1574,288,2347,392
J01_2018.06.13 13_31_01_augColor_4fliplr.jpg,bad,213,288,986,392
J01_2018.06.13 13_31_01_augColor_4flipud.jpg,bad,1574,1528,2347,1632
J01_2018.06.13 13_31_01_augColor_4rotatePi.jpg,bad,213,1528,986,1632
J01_2018.06.13 13_31_01_augColor_7.jpg,bad,1574,288,2347,392
J01_2018.06.13 13_31_01_augColor_7fliplr.jpg,bad,213,288,986,392
J01_2018.06.13 13_31_01_augColor_7flipud.jpg,bad,1574,1528,2347,1632
J01_2018.06.13 13_31_01_augColor_7rotatePi.jpg,bad,213,1528,986,1632
J01_2018.06.13 13_43_44.jpg,bad,1837,1214,1910,1573
J01_2018.06.13 13_43_44fliplr.jpg,bad,650,1214,723,1573
J01_2018.06.13 13_43_44flipud.jpg,bad,1837,347,1910,706
J01_2018.06.13 13_43_44rotatePi.jpg,bad,649,347,722,706
J01_2018.06.13 13_48_07.jpg,bad,1039,1307,1576,1397
J01_2018.06.13 13_48_07fliplr.jpg,bad,984,1307,1521,1397
J01_2018.06.13 13_48_07flipud.jpg,bad,1039,523,1576,613
J01_2018.06.13 13_48_07rotatePi.jpg,bad,983,523,1520,613
J01_2018.06.13 13_50_00.jpg,bad,1701,1084,1885,1168
J01_2018.06.13 13_50_00fliplr.jpg,bad,675,1084,859,1168
J01_2018.06.13 13_50_00flipud.jpg,bad,1701,752,1885,836
